""          ,"ABBN","ATLN","ADEN","CSGN","GIVN","HOLN","BAER","NESN","NOVN","CFR","ROG","SGSN","UHR","SREN","SCMN","SYNN","SYST","RIGN","UBSN","ZURN"
"2012-02-24",18.79 ,34.81 ,46.82 ,24.92 ,876   ,58.65 ,36.24 ,55.45 ,51.5  ,54.45,159.3,1719  ,404.3,53.85 ,362.1 ,299.2 ,157   ,45.88 ,12.88 ,226.5
"2012-02-27",18.69 ,34.76 ,46.07 ,24.7  ,864   ,58.25 ,36.02 ,55.65 ,49.68 ,54.05,159  ,1716  ,404  ,54.35 ,363.5 ,298.1 ,156.8 ,48    ,12.75 ,227
"2012-02-28",18.7  ,34.65 ,45.7  ,24.61 ,866   ,58.3  ,35.95 ,55.45 ,49.44 ,54.7 ,158.2,1702  ,406.8,53.4  ,361.4 ,295.9 ,156.7 ,48.85 ,12.68 ,226
"2012-02-29",18.52 ,34.11 ,45.34 ,24.31 ,854.5 ,59    ,35.45 ,55.3  ,49.29 ,55.55,157.5,1695  ,410.2,53.7  ,360.4 ,295   ,156.6 ,48.22 ,12.65 ,227.8
"2012-03-01",18.66 ,34.09 ,49.18 ,24.3  ,861.5 ,60.9  ,35.72 ,55.45 ,49.32 ,55.75,157  ,1709  ,408.9,54.1  ,357.2 ,298.6 ,157   ,47.73 ,12.62 ,230.1
"2012-03-02",18.77 ,34.77 ,48.05 ,24.93 ,858.5 ,60.75 ,35.48 ,55.55 ,49.33 ,55.95,157.4,1696  ,412.5,53.8  ,356.5 ,299.7 ,156.8 ,49.5  ,12.73 ,230
"2012-03-05",18.6  ,34.09 ,47.52 ,24.6  ,852   ,60.05 ,35.16 ,55.7  ,49.79 ,55.65,159.4,1700  ,413.5,54.25 ,355.9 ,295   ,155.4 ,48.23 ,12.62 ,230.2
"2012-03-06",17.94 ,33.71 ,45.7  ,23.48 ,834   ,57.75 ,34.39 ,55.3  ,49.06 ,54.05,158.5,1660  ,401.1,54    ,351.8 ,285.4 ,155.6 ,46.64 ,12.15 ,227.6
"2012-03-07",18.23 ,33.59 ,45.69 ,23.75 ,842.5 ,59.4  ,35.75 ,55.6  ,49    ,55.1 ,160.6,1690  ,408.8,53.8  ,354.5 ,289.7 ,155.5 ,48.38 ,12.34 ,227.7
"2012-03-09",18.56 ,33.79 ,47.94 ,24.41 ,855   ,60.75 ,36.03 ,56.6  ,50    ,56.55,158.4,1718  ,425  ,54.5  ,353.8 ,297.2 ,156   ,49.86 ,12.44 ,231.2
"2012-03-12",18.63 ,33.71 ,47.43 ,24.01 ,863   ,60.3  ,35.77 ,56.65 ,50.2  ,57.85,158.2,1716  ,426.6,55.45 ,353.4 ,294.2 ,156.4 ,47.95 ,12.42 ,231.7
"2012-03-13",18.95 ,34.24 ,48.25 ,25.05 ,872   ,62.5  ,36.57 ,56.8  ,50.45 ,59.05,159.1,1726  ,436  ,57.3  ,356   ,296.5 ,156.5 ,49.08 ,12.77 ,234.1
"2012-03-14",19.17 ,34.37 ,48.56 ,26.3  ,862.5 ,62.8  ,37.22 ,56.4  ,50.6  ,59.55,160.2,1700  ,437  ,57.9  ,360.2 ,298.5 ,156.5 ,50    ,13.02 ,240.3
"2012-03-15",19.36 ,34.56 ,49.12 ,26.81 ,863.5 ,63    ,37.83 ,56.7  ,50.4  ,59.45,160.4,1707  ,435  ,59.05 ,358.5 ,302   ,156.4 ,51.4  ,13.19 ,242
"2012-03-16",19.1  ,35.55 ,49.02 ,27.2  ,864   ,62.85 ,37.52 ,57    ,50.15 ,58.9 ,159.9,1718  ,434.7,59.15 ,361.5 ,300.2 ,157.4 ,53.9  ,13.24 ,244.8
"2012-03-19",19.1  ,36    ,48.91 ,27.18 ,859   ,62.4  ,36.75 ,56.65 ,50.5  ,58.35,159.7,1707  ,431.1,58.45 ,364.7 ,298.2 ,157.1 ,52.9  ,13.27 ,244.6
"2012-03-20",18.81 ,36.02 ,48.3  ,26.8  ,862   ,61.8  ,35.83 ,56.6  ,50.55 ,57.9 ,159.7,1695  ,424.5,58.1  ,363.4 ,295.5 ,157.2 ,52.2  ,13.07 ,242.5
"2012-03-21",18.7  ,35.84 ,47.65 ,26.59 ,864.5 ,61.55 ,36.19 ,56.5  ,50.45 ,57.85,160  ,1703  ,426.1,58.55 ,362.1 ,298.9 ,157.2 ,52.3  ,12.98 ,242.3
"2012-03-22",18.38 ,35    ,47.625,26.08 ,858   ,60.925,35.68 ,56.45 ,50.275,56.4 ,158.6,1708.5,422.7,58.125,361.7 ,303.1 ,157.1 ,51.625,12.92 ,241
"2012-03-23",18.5  ,34.45 ,47.6  ,26.5  ,867.5 ,60.3  ,35.98 ,56.4  ,50.1  ,55.8 ,157.3,1714  ,419.3,57.7  ,362.4 ,307.3 ,156.7 ,50.95 ,12.87 ,240.8
"2012-03-26",18.58 ,34.45 ,47.84 ,26.52 ,864.5 ,61.1  ,36.42 ,56.95 ,50.25 ,56.65,158.4,1737  ,426  ,58.2  ,362.7 ,308.1 ,156.8 ,51.05 ,13    ,242.3
"2012-03-27",18.49 ,34.23 ,47.86 ,26.4  ,856   ,59.3  ,36.28 ,56.75 ,50.1  ,56.85,158.4,1738  ,425.8,58.75 ,364   ,307.1 ,156.8 ,50.2  ,13.03 ,243.9
"2012-03-28",18.32 ,33.89 ,47.47 ,26.43 ,856.5 ,58.45 ,35.99 ,56.55 ,50.1  ,56.6 ,159.8,1732  ,421.6,58.3  ,363   ,306.9 ,156.4 ,48.72 ,12.83 ,242.9
